"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Shadow Patrat","Tackle","Dig","6.518","47.4","10.71","791"
"Aron","Tackle","Rock Tomb","6.516","107.2","13.12","1307"
"Natu","Peck","Night Shade","6.514","63.5","11.51","1102"
"Whirlipede","Bug Bite","Signal Beam","6.512","114.7","13.34","1144"
"Wormadam (Trash Cloak)","Bug Bite","Psybeam","6.512","146","14.17","1593"
"Dratini","Dragon Breath","Wrap","6.511","65.1","11.58","1004"
"Forretress","Bug Bite","Sand Tomb","6.511","194.8","15.23","2282"
"Lickitung","Zen Headbutt","Body Slam","6.511","152.5","14.32","1411"
"Chinchou","Spark","Bubble Beam","6.51","99.2","12.86","1119"
"Gothita","Pound","Psyshock","6.51","82","12.27","951"
"Pumpkaboo - Small Size","Razor Leaf","Shadow Sneak","6.509","89.2","12.52","1202"
"Purrloin","Scratch","Dark Pulse","6.509","54.1","11.05","772"
"Mareep","Tackle","Body Slam","6.508","68.4","11.72","991"
"Alolan Meowth","Bite","Trailblaze","6.506","56.7","11.18","797"
"Munna","Charge Beam","Dazzling Gleam","6.506","95.7","12.74","1145"
"Staravia","Sand Attack","Heat Wave","6.506","79.2","12.15","1299"
"Shadow Vulpix","Quick Attack","Flame Charge","6.504","61.1","11.39","883"
"Shadow Snorlax","Yawn","Earthquake","6.503","238.7","16.01","3225"
"Carkol","Smack Down","Flame Charge","6.502","159.1","14.46","1512"
"Shadow Venonat","Bug Bite","Psybeam","6.502","73.5","11.92","1004"
"Bagon","Bite","Twister","6.501","69.7","11.76","1156"
"Servine","Vine Whip","Wrap","6.501","128.1","13.7","1441"
"Tepig","Ember","Flame Charge","6.501","80.3","12.19","1083"
"Toedscool","Mud Slap","Seed Bomb","6.501","99.9","12.87","1040"
"Deino","Tackle","Body Slam","6.5","76","12.02","1062"
"Audino","Zen Headbutt","Dazzling Gleam","6.499","196.7","15.24","1682"
"Nidorino","Poison Sting","Horn Attack","6.499","97.2","12.78","1393"
"Grubbin","Bug Bite","Crunch","6.498","66.3","11.61","984"
"Araquanid","Bug Bite","Mirror Coat","6.497","194.1","15.19","1827"
"Barboach","Water Gun","Aqua Tail","6.497","66.5","11.62","819"
"Shadow Diglett","Scratch","Rock Tomb","6.497","28.7","9.42","676"
"Tepig","Tackle","Flame Charge","6.497","80.3","12.18","1083"
"Shadow Ferroseed","Metal Claw","Gyro Ball","6.494","90.7","12.55","941"
"Wailmer","Splash","Scald","6.494","109.2","13.15","1468"
"Chinchou","Bubble","Bubble Beam","6.493","98.9","12.83","1119"
"Shadow Squirtle","Bubble","Water Pulse","6.493","72.5","11.87","946"
"Jigglypuff","Pound","Body Slam","6.492","67.1","11.64","724"
"Ducklett","Wing Attack","Brave Bird","6.491","86.5","12.4","856"
"Fennekin","Scratch","Flame Charge","6.491","71.2","11.81","1028"
"Hisuian Voltorb","Tackle","Energy Ball","6.491","76.6","12.03","1010"
"Shadow Drowzee","Confusion","Psybeam","6.487","96.3","12.73","1040"
"Gothita","Pound","Return","6.484","81.7","12.22","951"
"Shadow Nosepass","Rock Throw","Rock Blast","6.483","100.9","12.88","993"
"Lileep","Acid","Return","6.482","133.6","13.81","1291"
"Nidoran♀","Bite","Sludge Bomb","6.481","75.3","11.97","816"
"Tadbulb","Water Gun","Zap Cannon","6.481","67.7","11.65","911"
"Azumarill","Rock Smash","Hydro Pump","6.48","180.2","14.88","1588"
"Pansage","Scratch","Energy Ball","6.48","74.5","11.93","956"
"Poochyena","Tackle","Return","6.476","43","10.4","678"
"Togetic","Zen Headbutt","Ancient Power","6.475","141.8","14.01","1708"
"Shadow Ralts","Charge Beam","Psyshock","6.474","31.6","9.62","539"
"Pumpkaboo - Average Size","Razor Leaf","Shadow Sneak","6.472","93","12.6","1222"
"Shadow Venonat","Confusion","Poison Fang","6.471","73.2","11.87","1004"
"Fennekin","Ember","Psyshock","6.468","70.9","11.77","1028"
"Skwovet","Bite","Body Slam","6.468","84.8","12.31","944"
"Ledian","Struggle Bug","Dynamic Punch","6.467","140.2","13.95","1346"
"Dunsparce","Rollout","Dig","6.465","154","14.28","1689"
"Shadow Swinub","Powder Snow","Rock Slide","6.465","47.7","10.66","741"
"Shadow Piplup","Pound","Icy Wind","6.464","68.7","11.67","1075"
"Toxapex","Bite","Brine","6.463","196.4","15.17","1685"
"Purrloin","Sucker Punch","Play Rough","6.46","53.7","10.97","772"
"Tinkatuff","Fairy Wind","Flash Cannon","6.458","127.6","13.62","1307"
"Shadow Spheal","Rock Smash","Body Slam","6.452","73.3","11.84","962"
"Yungoos","Tackle","Rock Tomb","6.451","47.4","10.62","880"
"Shadow Patrat","Bite","Dig","6.45","46.9","10.59","791"
"Aipom","Astonish","Aerial Ace","6.449","91.5","12.52","1348"
"Totodile","Water Gun","Crunch","6.449","84.3","12.26","1131"
"Phanpy","Tackle","Bulldoze","6.448","112.3","13.17","1206"
"Espurr","Scratch","Energy Ball","6.447","99.8","12.79","1259"
"Morelull","Astonish","Seed Bomb","6.446","80.9","12.13","1033"
"Croagunk","Poison Sting","Low Sweep","6.445","60.6","11.29","952"
"Goldeen","Mud Shot","Water Pulse","6.443","79.9","12.09","1152"
"Naclistack","Rock Throw","Ancient Power","6.443","133","13.73","1292"
"Frillish","Hex","Ominous Wind","6.441","107.2","13.01","1257"
"Frillish","Hex","Ice Beam","6.44","107.2","13.01","1257"
"Poochyena","Snarl","Crunch","6.439","42.8","10.34","678"
"Lombre","Bubble","Scald","6.438","101.8","12.84","1197"
"Jangmo-o","Tackle","Dragon Pulse","6.437","78.6","12.03","969"
"Oshawott","Water Gun","Night Slash","6.437","71.9","11.77","1046"
"Chimchar","Scratch","Flame Charge","6.436","64.1","11.43","957"
"Dusclops","Hex","Ice Punch","6.435","150.1","14.14","1591"
"Fomantis","Fury Cutter","Energy Ball","6.435","47.6","10.61","741"
"Makuhita","Tackle","Heavy Slam","6.434","58.8","11.19","817"
"Pumpkaboo - Large Size","Razor Leaf","Shadow Sneak","6.434","97.3","12.69","1244"
"Shadow Hoppip","Tackle","Grass Knot","6.434","51.1","10.8","600"
"Shadow Onix","Rock Throw","Iron Head","6.434","115.8","13.25","1101"
"Shadow Bidoof","Tackle","Superpower","6.433","55","11","721"
"Shadow Wooper","Mud Shot","Mud Bomb","6.432","48.5","10.66","641"
"Makuhita","Rock Smash","Heavy Slam","6.43","58.8","11.18","817"
"Munna","Zen Headbutt","Psybeam","6.429","94.5","12.59","1145"
"Alolan Diglett","Metal Claw","Dig","6.428","35.1","9.83","681"
"Gible","Take Down","Dig","6.428","73.3","11.81","1112"
"Loudred","Bite","Disarming Voice","6.426","90.8","12.46","1327"
"Shellder","Ice Shard","Return","6.423","77.7","11.98","1080"
"Bayleef","Razor Leaf","Ancient Power","6.422","128.8","13.59","1454"
"Galarian Meowth","Metal Claw","Night Slash","6.422","72.5","11.77","1035"
"Shadow Shieldon","Iron Tail","Heavy Slam","6.421","91.2","12.47","890"
"Dusclops","Feint Attack","Ice Punch","6.42","149.8","14.11","1591"
"Phanpy","Tackle","Rock Slide","6.42","111.8","13.11","1206"
"Charmander","Ember","Flame Charge","6.419","64","11.41","980"
"Cyndaquil","Ember","Flame Charge","6.419","64","11.41","980"
"Milcery","Tackle","Dazzling Gleam","6.418","71.3","11.72","829"
"Skrelp","Acid","Water Pulse","6.418","84","12.21","1063"
"Dwebble","Cut","Rock Tomb","6.417","96.8","12.65","1224"
"Cyndaquil","Tackle","Flame Charge","6.416","64","11.4","980"
"Arrokuda","Waterfall","Aqua Jet","6.415","52.7","10.86","903"
"Glameow","Scratch","Aerial Ace","6.415","64.8","11.44","934"
"Dottler","Confusion","Psychic","6.413","116.4","13.24","1030"
"Dustox","Struggle Bug","Bug Buzz","6.412","133.9","13.71","1224"
"Shadow Spheal","Rock Smash","Water Pulse","6.41","72.8","11.77","962"
"Smoliv","Razor Leaf","Energy Ball","6.41","62.9","11.35","854"
"Pidove","Quick Attack","Aerial Ace","6.408","64.2","11.4","848"
"Wartortle","Water Gun","Aqua Jet","6.405","126.9","13.51","1488"
"Chespin","Vine Whip","Gyro Ball","6.404","87.6","12.32","1096"
"Pidgeot","Wing Attack","Feather Dance","6.402","157.7","14.26","2129"
"Wingull","Water Gun","Water Pulse","6.402","45.6","10.46","765"
"Nidoran♂","Peck","Return","6.401","58.6","11.14","860"
"Dusclops","Hex","Fire Punch","6.4","149.3","14.07","1591"
"Smoliv","Tackle","Energy Ball","6.399","62.8","11.33","854"
"Carbink","Rock Throw","Power Gem","6.398","202.4","15.17","1467"
"Dustox","Confusion","Bug Buzz","6.397","133.6","13.68","1224"
"Aipom","Astonish","Swift","6.395","90.7","12.41","1348"
"Diggersby","Quick Attack","Fire Punch","6.395","160.7","14.32","1509"
"Shadow Nidoran♂","Poison Sting","Horn Attack","6.393","48.8","10.62","860"
"Dusclops","Feint Attack","Fire Punch","6.392","149.1","14.05","1591"
"Pachirisu","Volt Switch","Thunderbolt","6.391","141","13.85","1213"
"Skrelp","Water Gun","Water Pulse","6.391","83.6","12.15","1063"
"Diglett","Mud Slap","Dig","6.39","33.8","9.69","676"
"Obstagoon","Lick","Obstruct","6.39","210.4","15.31","2652"
"Shadow Squirtle","Tackle","Water Pulse","6.39","71.4","11.68","946"
"Shadow Nosepass","Spark","Rock Slide","6.388","99.4","12.69","993"
"Shadow Piplup","Bubble","Icy Wind","6.388","67.9","11.53","1075"
"Fennekin","Ember","Flame Charge","6.386","70","11.62","1028"
"Naclistack","Rock Throw","Rock Tomb","6.385","131.8","13.61","1292"
"Frillish","Bubble","Night Shade","6.383","106.3","12.89","1257"
"Carkol","Incinerate","Flame Charge","6.38","156.1","14.19","1512"
"Silicobra","Mud Slap","Bulldoze","6.379","95.3","12.54","1081"
"Koffing","Tackle","Dark Pulse","6.376","93.2","12.47","1214"
"Shadow Bidoof","Take Down","Hyper Fang","6.376","54.5","10.9","721"
"Shadow Bidoof","Tackle","Ice Beam","6.375","54.5","10.9","721"
"Horsea","Bubble","Flash Cannon","6.373","61.1","11.21","1056"
"Meowth","Scratch","Foul Play","6.373","55.5","10.95","748"
"Shadow Pineco","Tackle","Rock Tomb","6.373","76.7","11.87","1108"
"Goomy","Water Gun","Dragon Pulse","6.372","80.3","12.01","976"
"Goomy","Tackle","Dragon Pulse","6.372","80.3","12.01","976"
"Mudkip","Tackle","Dig","6.372","72.6","11.71","1128"
"Bramblin","Astonish","Night Shade","6.369","47.1","10.51","877"
"Bramblin","Bullet Seed","Night Shade","6.369","47.1","10.51","877"
"Torchic","Ember","Rock Tomb","6.369","64.5","11.36","1093"
"Chimchar","Scratch","Flame Wheel","6.368","63.4","11.31","957"
"Goldeen","Peck","Water Pulse","6.368","79","11.95","1152"
"Vulpix","Quick Attack","Flamethrower","6.368","71.8","11.67","883"
"Numel","Ember","Heat Wave","6.367","70.6","11.62","1057"
"Tinkatink","Fairy Wind","Play Rough","6.367","83.9","12.13","860"
"Sizzlipede","Ember","Crunch","6.366","70.5","11.61","1049"
"Dubwool","Take Down","Payback","6.365","179.7","14.67","2191"
"Arrokuda","Bite","Close Combat","6.364","52.3","10.77","903"
"Shadow Nidoran♀","Bite","Body Slam","6.363","61.6","11.22","816"
"Litwick","Astonish","Flame Burst","6.362","75.8","11.82","1006"
"Rhyhorn","Rock Smash","Horn Attack","6.362","128.5","13.49","1651"
"Totodile","Scratch","Crunch","6.362","83.2","12.1","1131"
"Natu","Quick Attack","Night Shade","6.361","62","11.24","1102"
"Shadow Shellder","Tackle","Icy Wind","6.361","64.1","11.33","1080"
"Phanpy","Rock Smash","Return","6.36","110.7","12.99","1206"
"Shadow Poochyena","Snarl","Dig","6.36","35.2","9.76","678"
"Meltan","Thunder Shock","Flash Cannon","6.357","72.9","11.7","1068"
"Rockruff","Tackle","Crunch","6.356","58.7","11.08","950"
"Pumpkaboo - Super Size","Razor Leaf","Shadow Sneak","6.352","100","12.65","1250"
"Rellor","Bug Bite","Bug Buzz","6.351","73.7","11.72","815"
"Shadow Foongus","Astonish","Body Slam","6.351","72","11.66","979"
"Smoliv","Razor Leaf","Earth Power","6.35","62.3","11.24","854"
"Herdier","Take Down","Dig","6.349","110.6","12.97","1583"
"Bergmite","Bite","Icy Wind","6.348","95.8","12.51","1215"
"Nacli","Rock Throw","Rock Blast","6.346","87.2","12.22","966"
"Exeggcute","Bullet Seed","Return","6.344","104.8","12.79","1175"
"Poochyena","Tackle","Crunch","6.343","42.2","10.18","678"
"Silicobra","Mud Slap","Dig","6.343","94.8","12.47","1081"
"Snivy","Vine Whip","Seed Bomb","6.343","76.8","11.83","849"
"Woobat","Confusion","Air Cutter","6.343","78.3","11.89","1016"
"Purrloin","Scratch","Play Rough","6.342","52.7","10.77","772"
"Alolan Diglett","Mud Slap","Dig","6.339","34.6","9.69","681"
"Bergmite","Bite","Crunch","6.338","95.6","12.49","1215"
"Larvitar","Bite","Crunch","6.333","72.1","11.63","1040"
"Togetic","Hidden Power (Fire)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Fighting)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Water)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Grass)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Poison)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Electric)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Ground)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Psychic)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Rock)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Ice)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Bug)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Dragon)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Ghost)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Dark)","Ancient Power","6.333","138.7","13.7","1708"
"Togetic","Hidden Power (Steel)","Ancient Power","6.333","138.7","13.7","1708"
"Chimchar","Ember","Flame Charge","6.332","63","11.25","957"
"Phanpy","Tackle","Trailblaze","6.332","110.2","12.93","1206"
"Charcadet","Incinerate","Flamethrower","6.331","52.8","10.76","732"
"Mareanie","Poison Sting","Gunk Shot","6.331","83.5","12.06","972"
"Surskit","Bug Bite","Signal Beam","6.33","60.5","11.13","791"
"Shadow Chikorita","Tackle","Body Slam","6.329","71.7","11.61","935"
"Smoliv","Tackle","Earth Power","6.329","62.1","11.2","854"
"Deerling","Take Down","Wild Charge","6.328","85.9","12.14","1135"
"Kirlia","Magical Leaf","Draining Kiss","6.327","60.4","11.12","966"
"Rowlet","Tackle","Energy Ball","6.325","92.1","12.35","1058"
"Shadow Ferroseed","Metal Claw","Flash Cannon","6.325","88.3","12.23","941"
"Clauncher","Water Gun","Water Pulse","6.323","88","12.21","1088"
"Chikorita","Magical Leaf","Return","6.322","85.9","12.14","935"
"Klang","Metal Sound","Vise Grip","6.32","140.9","13.73","1847"
"Trubbish","Pound","Gunk Shot","6.319","91.3","12.32","1000"
"Zubat","Bite","Sludge Bomb","6.319","52.1","10.71","667"
"Hisuian Voltorb","Charge Beam","Energy Ball","6.318","74.6","11.71","1010"
"Venonat","Confusion","Return","6.318","85.7","12.13","1004"
"Shadow Skorupi","Poison Sting","Aqua Tail","6.316","81.8","11.98","1009"
"Numel","Tackle","Heat Wave","6.315","70","11.52","1057"
"Barboach","Water Gun","Mud Bomb","6.313","64.6","11.29","819"
"Shadow Skorupi","Infestation","Aqua Tail","6.313","81.8","11.98","1009"
"Shadow Swinub","Tackle","Icy Wind","6.313","46.6","10.41","741"
"Sandshrew","Scratch","Rock Tomb","6.312","89.9","12.26","1261"
"Shadow Drowzee","Pound","Psybeam","6.312","93.7","12.39","1040"
"Snover","Ice Shard","Stomp","6.312","89.4","12.24","1159"
"Nidorina","Bite","Poison Fang","6.311","110.6","12.91","1309"
"Shadow Exeggcute","Bullet Seed","Ancient Power","6.311","86.9","12.16","1175"
"Cherubi","Tackle","Petal Blizzard","6.309","67","11.39","950"
"Wartortle","Bite","Aqua Jet","6.309","125","13.31","1488"
"Psyduck","Water Gun","Psybeam","6.308","73.2","11.64","1106"
"Vulpix","Ember","Flamethrower","6.307","71.1","11.56","883"
"Mareanie","Bite","Gunk Shot","6.305","83.1","12.01","972"
"Zubat","Quick Attack","Sludge Bomb","6.303","52","10.68","667"
"Poliwag","Mud Shot","Return","6.302","57.3","10.94","829"
"Quaxly","Water Gun","Aqua Jet","6.302","71.1","11.55","1075"
"Quaxly","Wing Attack","Aerial Ace","6.297","71.1","11.54","1075"
"Bidoof","Tackle","Hyper Fang","6.295","64.6","11.27","721"
"Toedscool","Mud Shot","Seed Bomb","6.294","96.7","12.46","1040"
"Shadow Ferroseed","Tackle","Iron Head","6.291","87.8","12.16","941"
"Wingull","Water Gun","Air Cutter","6.291","44.8","10.28","765"
"Wingull","Quick Attack","Ice Beam","6.289","44.8","10.27","765"
"Cherubi","Bullet Seed","Dazzling Gleam","6.287","66.8","11.35","950"
"Pidove","Air Slash","Aerial Ace","6.287","63","11.19","848"
"Kirlia","Magical Leaf","Disarming Voice","6.285","60","11.05","966"
"Barboach","Mud Shot","Aqua Tail","6.283","64.3","11.24","819"
"Mantyke","Bubble","Aerial Ace","6.282","120.9","13.16","1248"
"Shadow Pidgeotto","Steel Wing","Twister","6.281","76.3","11.73","1194"
"Tadbulb","Thunder Shock","Parabolic Charge","6.28","65.6","11.29","911"
"Carbink","Rock Throw","Moonblast","6.277","198.6","14.89","1467"
"Alolan Diglett","Sand Attack","Dig","6.273","34.3","9.59","681"
"Hippopotas","Bite","Rock Tomb","6.272","106.5","12.73","1358"
"Foongus","Feint Attack","Return","6.271","85.3","12.04","979"
"Charcadet","Ember","Flamethrower","6.27","52.3","10.66","732"
"Meowth","Bite","Body Slam","6.27","54.6","10.77","748"
"Shadow Meowth","Bite","Night Slash","6.268","45.5","10.29","748"
"Spritzee","Charge Beam","Thunderbolt","6.268","111.9","12.88","1252"
"Purrloin","Sucker Punch","Night Slash","6.267","52.1","10.64","772"
"Lickitung","Zen Headbutt","Stomp","6.265","146.7","13.78","1411"
"Shadow Onix","Mud Shot","Breaking Swipe","6.263","112.7","12.9","1101"
"Shadow Pidgey","Tackle","Air Cutter","6.261","43","10.14","680"
"Lileep","Infestation","Return","6.259","129","13.34","1291"
"Vibrava","Sand Attack","Sand Tomb","6.259","75.3","11.66","1225"
"Hatenna","Confusion","Dazzling Gleam","6.258","64.7","11.22","861"
"Forretress","Struggle Bug","Sand Tomb","6.257","187.2","14.63","2282"
"Fuecoco","Incinerate","Crunch","6.253","87.7","12.1","1127"
"Shadow Swinub","Powder Snow","Body Slam","6.249","46.1","10.3","741"
"Diglett","Scratch","Dig","6.248","33.1","9.48","676"
"Shadow Litwick","Astonish","Heat Wave","6.248","62.1","11.09","1006"
"Galarian Meowth","Metal Claw","Dig","6.246","70.5","11.45","1035"
"Popplio","Water Gun","Aqua Jet","6.241","77.7","11.72","1129"
"Bayleef","Magical Leaf","Ancient Power","6.24","125.2","13.21","1454"
"Swadloon","Struggle Bug","Silver Wind","6.24","123.4","13.16","1370"
"Deerling","Take Down","Trailblaze","6.236","84.6","11.97","1135"
"Flittle","Confusion","Psybeam","6.236","38","9.8","702"
"Sewaddle","Bug Bite","Energy Ball","6.234","86","12.01","977"
"Shadow Lileep","Acid","Mirror Coat","6.233","107.1","12.69","1291"
"Snorlax","Yawn","Skull Bash","6.232","274.5","16.06","3225"
"Clefairy","Pound","Body Slam","6.231","99.5","12.46","1155"
"Dratini","Dragon Breath","Twister","6.229","62.3","11.08","1004"
"Pikachu","Quick Attack","Thunder","6.229","60.5","10.99","938"
"Professor Pikachu","Quick Attack","Thunder","6.229","60.5","10.99","938"
"Shadow Nidoran♀","Poison Sting","Body Slam","6.229","60.3","10.99","816"
"Buizel","Quick Attack","Swift","6.228","57.1","10.83","1054"
"Fletchling","Quick Attack","Aerial Ace","6.228","58.7","10.91","800"
"Sizzlipede","Ember","Heat Wave","6.227","69","11.36","1049"
"Budew","Hidden Power (Fire)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Fighting)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Water)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Flying)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Electric)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Ground)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Psychic)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Rock)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Ice)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Bug)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Dragon)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Ghost)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Dark)","Grass Knot","6.226","72.3","11.49","856"
"Budew","Hidden Power (Steel)","Grass Knot","6.226","72.3","11.49","856"
"Staryu","Tackle","Swift","6.225","64.2","11.16","1157"
"Shellder","Tackle","Water Pulse","6.224","75.3","11.61","1080"
"Arrokuda","Peck","Crunch","6.223","51.1","10.53","903"
"Minccino","Pound","Aqua Tail","6.223","66.1","11.23","872"
"Sandshrew","Sand Attack","Rock Tomb","6.221","88.6","12.08","1261"
"Alolan Meowth","Scratch","Night Slash","6.219","54.2","10.68","797"
"Fuecoco","Bite","Crunch","6.217","87.2","12.03","1127"
"Ledian","Struggle Bug","Aerial Ace","6.213","134.7","13.4","1346"
"Golett","Astonish","Brick Break","6.212","77.5","11.68","1189"
"Galarian Meowth","Scratch","Night Slash","6.21","70.1","11.38","1035"
"Bergmite","Tackle","Icy Wind","6.206","93.6","12.23","1215"
"Chimchar","Ember","Flame Wheel","6.206","61.8","11.02","957"
"Loudred","Rock Smash","Disarming Voice","6.206","87.6","12.03","1327"
"Purrloin","Scratch","Night Slash","6.206","51.5","10.54","772"
"Shadow Diglett","Mud Shot","Rock Tomb","6.204","27.4","8.99","676"
"Shadow Poochyena","Tackle","Dig","6.203","34.4","9.52","678"
"Corphish","Bubble","Vise Grip","6.202","68.7","11.31","1230"
"Panpour","Water Gun","Water Pulse","6.201","71.3","11.42","956"
"Psyduck","Zen Headbutt","Cross Chop","6.201","72","11.45","1106"
"Shadow Pidove","Quick Attack","Heat Wave","6.201","51.8","10.54","848"
"Croagunk","Mud Shot","Low Sweep","6.199","58.3","10.86","952"
"Helioptile","Quick Attack","Bulldoze","6.199","56.8","10.79","933"
"Ledian","Bug Bite","Silver Wind","6.199","134.4","13.38","1346"
"Poliwag","Bubble","Bubble Beam","6.198","56.3","10.76","829"
"Vibrava","Mud Shot","Sand Tomb","6.197","74.5","11.54","1225"
"Steenee","Razor Leaf","Grass Knot","6.196","73.1","11.48","757"
"Bergmite","Tackle","Crunch","6.191","93.4","12.2","1215"
"Inkay","Psywave","Night Slash","6.19","74.2","11.52","927"
"Shellder","Ice Shard","Bubble Beam","6.19","74.9","11.54","1080"
"Shadow Kirlia","Magical Leaf","Shadow Sneak","6.189","49.2","10.39","966"
"Shadow Hoppip","Bullet Seed","Grass Knot","6.187","49.1","10.39","600"
"Hippopotas","Sand Attack","Rock Tomb","6.184","105","12.55","1358"
"Shadow Pidgey","Quick Attack","Air Cutter","6.184","42.5","10.01","680"
"Treecko","Bullet Seed","Aerial Ace","6.184","63.2","11.05","1053"
"Wattrel","Peck","Acrobatics","6.184","52.1","10.54","826"
"Woobat","Air Slash","Air Cutter","6.183","76.4","11.59","1016"
"Nymble","Bug Bite","Bug Buzz","6.182","41.9","9.97","592"
"Remoraid","Mud Shot","Aurora Beam","6.181","45.4","10.18","912"
"Vulpix","Quick Attack","Return","6.181","69.7","11.33","883"
"Lileep","Bullet Seed","Return","6.179","127.3","13.16","1291"
"Mantyke","Tackle","Aerial Ace","6.175","118.9","12.93","1248"
"Ekans","Acid","Poison Fang","6.174","60.5","10.92","927"
"Shadow Pidove","Air Slash","Heat Wave","6.174","51.6","10.49","848"
"Arrokuda","Bite","Aqua Jet","6.173","50.7","10.45","903"
"Squirtle","Bubble","Return","6.171","82.7","11.81","946"
"Dunsparce","Astonish","Dig","6.169","146.9","13.63","1689"
"Frillish","Hex","Night Shade","6.169","102.7","12.46","1257"
"Snorunt","Powder Snow","Shadow Ball","6.169","71.6","11.38","888"
"Cubone","Mud Slap","Return","6.167","103.4","12.48","1019"
"Shadow Onix","Mud Shot","Stone Edge","6.165","111","12.7","1101"
"Komala","Yawn","Bulldoze","6.164","137.1","13.39","2582"
"Shadow Cubone","Rock Smash","Dig","6.164","86.2","11.92","1019"
"Shadow Onix","Tackle","Breaking Swipe","6.163","110.9","12.69","1101"
"Staryu","Quick Attack","Swift","6.161","63.5","11.04","1157"
"Venonat","Confusion","Signal Beam","6.16","83.6","11.82","1004"
"Alolan Vulpix","Powder Snow","Ice Beam","6.159","69.4","11.28","883"
"Shdow Alolan Vulpix","Powder Snow","Ice Beam","6.159","69.4","11.28","883"
"Shadow Snorunt","Powder Snow","Icy Wind","6.156","59.5","10.86","888"
"Chinchou","Spark","Water Pulse","6.155","93.8","12.16","1119"
"Diggersby","Mud Shot","Fire Punch","6.155","154.7","13.78","1509"
"Roggenrola","Tackle","Bulldoze","6.153","85.9","11.89","1205"
"Jigglypuff","Feint Attack","Body Slam","6.151","63.6","11.03","724"
"Oshawott","Tackle","Night Slash","6.15","68.7","11.24","1046"
"Shadow Shieldon","Tackle","Heavy Slam","6.15","87.4","11.94","890"
"Vulpix","Ember","Return","6.15","69.3","11.27","883"
"Chinchou","Bubble","Water Pulse","6.149","93.7","12.15","1119"
"Pineco","Bug Bite","Gyro Ball","6.148","88.9","11.99","1108"
"Shadow Wooper","Water Gun","Dig","6.147","46.4","10.19","641"
"Shadow Snorunt","Hex","Icy Wind","6.145","59.4","10.84","888"
"Deerling","Take Down","Energy Ball","6.144","83.4","11.79","1135"
"Phanpy","Tackle","Body Slam","6.143","106.9","12.55","1206"
"Delibird","Present","Icy Wind","6.142","64","11.04","1094"
"Phanpy","Rock Smash","Bulldoze","6.138","106.9","12.54","1206"
"Tadbulb","Water Gun","Parabolic Charge","6.138","64.1","11.03","911"
"Diglett","Mud Shot","Dig","6.137","32.5","9.31","676"
"Sewaddle","Struggle Bug","Seed Bomb","6.137","84.6","11.83","977"
"Shadow Bidoof","Take Down","Shadow Ball","6.135","52.5","10.49","721"
"Tinkatink","Fairy Wind","Brutal Swing","6.135","80.9","11.69","860"
"Koffing","Infestation","Dark Pulse","6.132","89.6","11.99","1214"
"Nidorina","Bite","Dig","6.132","107.4","12.55","1309"
"Squirtle","Bubble","Aqua Tail","6.132","82.2","11.73","946"
"Skiddo","Zen Headbutt","Brick Break","6.131","89.6","11.99","1250"
"Surskit","Bug Bite","Bubble Beam","6.129","58.6","10.78","791"
"Venipede","Poison Sting","Sludge Bomb","6.127","56.7","10.69","706"
"Drowzee","Confusion","Return","6.126","109.1","12.58","1040"
"Skwovet","Tackle","Trailblaze","6.124","80.3","11.65","944"
"Pansear","Fire Spin","Flame Charge","6.123","70.4","11.27","956"
"Popplio","Pound","Aqua Jet","6.122","76.2","11.5","1129"
"Barboach","Mud Shot","Mud Bomb","6.119","62.6","10.94","819"
"Delcatty","Charm","Disarming Voice","6.119","112.8","12.68","1496"
"Shadow Nidoran♂","Peck","Horn Attack","6.116","46.7","10.17","860"
